iter	Passed	Remaining
424	1896	2565
425	1900	2561
426	1905	2556
427	1909	2551
428	1912	2545
429	1916	2540
430	1921	2536
431	1925	2532
432	1931	2528
433	1934	2523
434	1939	2518
435	1942	2513
436	1946	2508
437	1950	2503
438	1954	2498
439	1958	2493
440	1963	2488
441	1967	2484
442	1971	2479
443	1977	2475
444	1980	2470
445	1983	2464
446	1988	2460
447	1992	2455
448	1996	2449
449	2001	2445
450	2005	2440
451	2010	2437
452	2013	2431
453	2018	2428
454	2023	2423
455	2026	2417
456	2031	2413
457	2034	2407
458	2038	2402
459	2042	2397
460	2046	2392
461	2051	2388
462	2055	2383
463	2059	2379
464	2063	2373
465	2066	2368
466	2070	2363
467	2073	2357
468	2077	2352
469	2082	2348
470	2086	2343
471	2091	2339
472	2095	2334
473	2098	2329
474	2102	2323
475	2105	2317
476	2108	2312
477	2112	2307
478	2117	2303
479	2121	2298
480	2125	2293
481	2128	2287
482	2132	2282
483	2136	2277
484	2140	2272
485	2144	2268
486	2148	2263
487	2152	2258
488	2157	2254
489	2161	2249
490	2166	2246
491	2170	2240
492	2177	2239
493	2183	2236
494	2188	2232
495	2193	2228
496	2197	2223
497	2201	2218
498	2205	2214
499	2210	2210
500	2214	2205
501	2218	2200
502	2222	2195
503	2226	2191
504	2231	2187
505	2235	2182
506	2239	2177
507	2243	2172
508	2246	2167
509	2251	2163
510	2254	2157
511	2258	2152
512	2261	2147
513	2265	2141
514	2268	2136
515	2272	2131
516	2276	2126
517	2280	21215518	2284	21175519	2289	2113
520	2294	2109
521	2298	2104
522	2302	2099
523	2306	2094
524	2311	2091
525	2315	2086
526	2319	2081
527	2324	2077
528	2327	2072
529	2331	2067
530	2334	20615531	2337	20565532	2341	2051
533	2345	2046
534	2351	2044
535	2356	2039
536	2361	2035
537	2364	2030
538	2366	2024
539	2370	2019
540	2373	2013
541	2375	2007
542	2380	2003
543	2383	1998
544	2387	1993
545	2390	1988
546	2394	1983
547	2398	1978
548	2402	1973
549	2406	1969
550	2409	1963
551	2413	1958
552	2417	1954
553	2422	1950
554	2426	1945
555	2430	1941
556	2434	1935
557	2436	1930
558	2440	1925
559	2443	1920
560	2446	1914
561	2449	1909
562	2453	1904563	2491	1926
564	2494	1920
5565	2464	18905566	2468	18855567	2473	18815568	2478	18775569	2481	1872570	2522	1895
571	2525	1889
572	2529	1884
573	2533	1880
574	2538	1876
575	2541	1870
576	2547	1867
577	2550	1861
578	2553	1856
579	2556	1851
5580	2536	1829
581	2540	1824
582	2543	1819
583	2547	1814
584	2551	1810
585	2554	1804
586	2558	1799
587	2561	1794
588	2563	1788
589	2566	1783
590	2570	1778
591	2576	1775
592	2579	1770
593	2582	1765
594	2585	1760
595	2588	1754
596	2592	1749
597	2597	1745
598	2599	1740
599	2603	1735
600	2608	1731
601	2610	1726
602	2614	1721
603	2618	1716
604	2621	1711
605	2624	17066606	2628	1701
607	2631	1696
608	2634	16916609	2638	16866610	2643	1683
611	2648	1679
612	2654	1675
613	2658	1671
614	2661	1666
615	2667	1662
616	2671	1658
617	2674	1653
618	2678	1648
619	2682	1644
620	2688	1640
621	2691	1635
622	2695	1631
623	2699	1626
624	2703	1622
625	2709	1618
626	2713	1614
627	2716	1608
628	2719	1604
629	2724	1599
630	2727	1594
631	2731	1590
632	2736	1586
633	2739	1581
634	2742	1576
635	2746	1571
636	2749	1566
637	2753	1562
638	2757	1557
639	2760	1552
640	2763	1547
641	2767	1542
642	2770	1538
643	2773	1533
644	2779	1529
645	2784	1525
646	2787	1520
647	2792	1517
648	2797	1513
649	2802	1508
650	2806	1504
651	2810	1500
652	2814	1495
653	2817	1490
654	2821	1485
655	2825	1481
656	2830	1477
657	2833	1472
658	2836	1467
659	2841	1463
660	2845	1459
661	2849	1454
662	2852	1449
663	2855	1445
664	2861	1441
665	2865	1437
666	2870	1433
667	2874	1428
668	2877	1423
669	2881	1419
670	2883	1413
671	2885	1408
672	2888	1403
673	2892	1398
674	2895	1394
675	2898	1389
676	2902	1384
677	2905	1379
678	2909	1375
679	2914	1371
680	2917	1366
681	2921	1362
682	2925	1357
683	2929	1353
684	2932	1348
685	2936	1343
686	2939	1339
687	2942	1334
688	2944	1329
689	2947	1324
690	2950	1319
691	2953	1314
692	2956	1309
693	2961	1305
694	2965	1301
695	2967	1296
696	2970	1291
697	2974	1287
698	2977	1282
699	2982	1278
700	2985	1273
701	2989	1269
702	2992	1264
703	2996	1259
704	3001	1255
705	3004	1251
706	3009	1247
707	3011	1242
708	3014	1237
709	3017	1232
710	3020	1227
711	3023	1223
712	3027	1218
713	3030	1213
714	3034	1209
715	3037	1204
716	3041	1200
717	3044	1195
718	3048	1191
719	3051	1186
720	3055	1182
721	3057	1177
722	3061	1172
723	3065	1168
724	3068	1163
725	3071	1159
726	3075	1155
727	3078	1150
728	3081	1145
729	3083	1140
730	3086	1135
731	3090	1131
732	3095	1127
733	3099	1123
734	3104	1119
735	3107	1114
736	3110	1109
737	3115	1105
738	3120	1102
739	3124	1097
740	3126	1092
741	3130	1088
742	3133	1083
743	3136	1079
744	3140	1074
745	3143	1070
746	3146	1065
747	3149	1061
748	3153	1056
749	3155	1051
750	3158	1047
751	3161	1042
752	3163	1037
753	3168	1033
754	3172	1029
755	3176	1025
756	3180	1020
757	3183	1016
758	3186	1011
759	3189	1007
760	3193	1002
761	3197	998
762	3208	996
763	3211	992
764	3214	987
765	3217	982
766	3220	978
767	3222	973
768	3225	968
769	3229	964
770	3232	960
771	3235	955
772	3237	950
773	3241	946
774	3245	942
775	3247	937
776	3251	933
777	3253	928
778	3256	923
779	3259	919
780	3263	915
781	3265	910
782	3268	905
783	3271	901
784	3274	896
785	3277	892
786	3282	888
787	3284	883
788	3331	891
789	3333	886
790	3336	881
791	3339	877
792	3341	872
793	3346	868
794	3351	864
795	3353	859
796	3356	854
797	3360	850
798	3365	846
799	3369	842
800	3371	837
801	3375	833
802	3379	829
803	3381	824
804	3384	819
805	3387	815
806	3391	811
807	3395	806
808	3397	802
809	3400	797
810	3404	793
811	3407	788
812	3410	784
813	3413	780
814	3417	775
815	3394	765
816	3398	761
817	3402	756
818	3405	752
819	3409	748
820	3413	744
821	3416	739
822	3420	735
823	3423	731
824	3427	727
825	3429	722
826	3432	718
827	3473	721
828	3476	717
829	3479	712
830	3456	703
831	3459	698
832	3462	694
833	3465	689
834	3467	685
835	3470	680
836	3473	676
837	3477	672
838	3480	667
839	3484	663
840	3487	659
841	3489	654
842	3532	657
843	3535	653
844	3538	649
845	3540	644
846	3544	640
847	3546	635
848	3548	631
849	3550	626
850	3552	622
851	3563	619
852	3567	614
853	3569	610
854	3572	605
855	3574	601
856	3591	599
857	3593	594
858	3597	590
859	3599	585
860	3601	581
861	3604	577
862	3606	572
863	3608	568
864	3610	563
865	3613	559
866	3615	554
867	3619	550
868	3621	545
869	3623	541
870	3625	537
871	3627	532
872	3630	528
873	3632	523
874	3634	519
875	3637	514
876	3639	510
877	3642	506
878	3643	501
879	3646	497
880	3648	492
881	3649	488
882	3651	483
883	3654	479
884	3656	475
885	3658	470
886	3661	466
887	3664	462
888	3667	457
889	3669	453
890	3672	449
891	3675	444
892	3677	440
893	3679	436
894	3681	431
895	3683	427
896	3685	423
897	3688	418
898	3691	414
899	3693	410
900	3694	405
901	3696	401
902	3698	397
903	3700	393
904	3703	388
905	3706	384
906	3709	380
907	3712	376
908	3713	371
909	3715	367
910	3717	363
911	3719	358
912	3721	354
913	3723	350
914	3725	346
915	3727	341
916	3729	337
917	3732	333
918	3733	329
919	3735	324
920	3737	320
921	3739	316
922	3741	312
923	3743	307
924	3744	303
925	3746	299
926	3748	295
927	3750	290
928	3752	286
929	3754	282
930	3756	278
931	3759	274
932	3761	270
933	3764	265
934	3765	261
935	3767	257
936	3769	253
937	3772	249
938	3774	245
939	3776	241
940	3778	236
941	3780	232
942	3782	228
943	3784	224
944	3786	220
945	3788	216
946	3790	212
947	3791	207
948	3793	203
949	3795	199
950	3797	195
951	3799	191
952	3802	187
953	3804	183
954	3806	179
955	3808	175
956	3810	171
957	3812	167
958	3814	163
959	3817	159
960	3819	155
961	3822	150
962	3825	146
963	3827	142
964	3830	138
965	3833	134
966	3835	130
967	3837	126
968	3839	122
969	3841	118
970	3843	114
971	3845	110
972	3848	106
973	3850	102
974	3852	98
975	3854	94
976	3855	90
977	3857	86
978	3859	82
979	3861	78
980	3863	74
981	3865	70
982	3867	66
983	3869	62
984	3871	58
985	3873	54
986	3875	51
987	3877	47
988	3878	43
989	3879	39
990	3881	35
991	3882	31
992	3883	27
993	3884	23
994	3886	19
995	3887	15
996	3888	11
997	3890	7
998	3891	3
999	3893	0
